station,valid,tmpf,dwpf,sped,p01m
ORD,2018/1/1 0:51,5,-6,12.65,0
ORD,2018/1/1 1:51,4,-7,10.35,0
ORD,2018/1/1 2:51,1.9,-8,11.5,0
ORD,2018/1/1 3:51,1,-9.9,13.8,0
ORD,2018/1/1 4:51,0,-11,10.35,0
ORD,2018/1/1 5:51,-0.9,-14.1,11.5,0
ORD,2018/1/1 6:51,-3,-15,13.8,0
ORD,2018/1/1 7:51,-4,-15,12.65,0
ORD,2018/1/1 8:51,-5,-16.1,12.65,0
ORD,2018/1/1 9:51,-6,-16.1,14.95,0
ORD,2018/1/1 10:51,-6,-17,12.65,0
ORD,2018/1/1 11:51,-7,-17,13.8,0
ORD,2018/1/1 12:51,-8,-17,11.5,0
ORD,2018/1/1 13:51,-9,-17,10.35,0
ORD,2018/1/1 14:51,-8,-17,13.8,0
ORD,2018/1/1 15:51,-6,-16.1,14.95,0
ORD,2018/1/1 16:51,-4,-15,12.65,0
ORD,2018/1/1 17:51,-2,-11.9,11.5,0
ORD,2018/1/1 18:51,0,-11.9,10.35,0
ORD,2018/1/1 19:51,1,-11,10.35,0
ORD,2018/1/1 20:51,1,-11,10.35,0
ORD,2018/1/1 21:51,0,-11.9,10.35,0
ORD,2018/1/1 22:51,-0.9,-11.9,9.2,0
ORD,2018/1/1 23:51,-2,-11.9,8.05,0
ORD,2018/1/2 0:51,-3,-11.9,9.2,0
ORD,2018/1/2 1:51,-3,-11.9,6.9,0
ORD,2018/1/2 2:51,-5,-13,6.9,0
ORD,2018/1/2 3:51,-5,-13,8.05,0
ORD,2018/1/2 4:51,-6,-13,6.9,0
ORD,2018/1/2 5:51,-6,-13,5.75,0
ORD,2018/1/2 6:51,-6,-13,5.75,0
ORD,2018/1/2 7:51,-6,-14.1,5.75,0
ORD,2018/1/2 8:51,-6,-14.1,6.9,0
ORD,2018/1/2 9:51,-7,-14.1,5.75,0
ORD,2018/1/2 10:51,-7,-15,8.05,0
ORD,2018/1/2 11:51,-7,-15,4.6,0
ORD,2018/1/2 12:51,-8,-15,6.9,0
ORD,2018/1/2 13:51,-8,-16.1,9.2,0
ORD,2018/1/2 14:51,-6,-15,6.9,0
ORD,2018/1/2 15:51,-2,-14.1,10.35,0
ORD,2018/1/2 16:51,1.9,-11,11.5,0
ORD,2018/1/2 17:51,4,-7,16.1,0
ORD,2018/1/2 18:51,5,-6,12.65,0
ORD,2018/1/2 19:51,7,-6,12.65,0
