station,valid,tmpf
ORD,2018-01-01 00:51,-3.00
ORD,2018-01-01 01:51,-4.00
ORD,2018-01-01 02:51,-5.00
ORD,2018-01-01 03:51,-6.00
ORD,2018-01-01 04:51,-6.00
ORD,2018-01-01 05:51,-7.00
ORD,2018-01-01 06:51,-8.00
ORD,2018-01-01 07:51,-9.00
ORD,2018-01-01 08:51,-8.00
ORD,2018-01-01 09:51,-6.00
ORD,2018-01-01 10:51,-4.00
ORD,2018-01-01 11:51,-2.00
ORD,2018-01-01 12:51,0.00
ORD,2018-01-01 13:51,1.00
ORD,2018-01-01 14:51,1.00
ORD,2018-01-01 15:51,0.00
ORD,2018-01-01 16:51,-0.90
ORD,2018-01-01 17:51,-2.00
ORD,2018-01-01 18:51,-3.00
ORD,2018-01-01 19:51,-3.00
ORD,2018-01-01 20:51,-5.00
ORD,2018-01-01 21:51,-5.00
ORD,2018-01-01 22:51,-6.00
ORD,2018-01-01 23:51,-6.00
ORD,2018-01-02 00:51,-6.00
ORD,2018-01-02 01:51,-6.00
ORD,2018-01-02 02:51,-6.00
ORD,2018-01-02 03:51,-7.00
ORD,2018-01-02 04:51,-7.00
ORD,2018-01-02 05:51,-7.00
ORD,2018-01-02 06:51,-8.00
ORD,2018-01-02 07:51,-8.00
ORD,2018-01-02 08:51,-6.00
ORD,2018-01-02 09:51,-2.00
ORD,2018-01-02 10:51,1.90
ORD,2018-01-02 11:51,4.00
ORD,2018-01-02 12:51,5.00
ORD,2018-01-02 13:51,7.00
ORD,2018-01-02 14:51,7.00
ORD,2018-01-02 15:51,6.00
ORD,2018-01-02 16:51,4.00
ORD,2018-01-02 17:51,3.00
ORD,2018-01-02 18:51,1.90
ORD,2018-01-02 19:51,1.90
ORD,2018-01-02 20:51,4.00
ORD,2018-01-02 21:51,6.00
ORD,2018-01-02 22:51,7.00
ORD,2018-01-02 23:51,8.10
ORD,2018-01-03 00:51,10.00
ORD,2018-01-03 01:51,10.90
ORD,2018-01-03 02:51,12.00
ORD,2018-01-03 03:34,12.00
ORD,2018-01-03 03:41,12.00
ORD,2018-01-03 03:51,12.00
ORD,2018-01-03 04:02,12.00
ORD,2018-01-03 04:51,12.90
ORD,2018-01-03 05:51,12.90
ORD,2018-01-03 06:51,14.00
ORD,2018-01-03 07:51,15.10
ORD,2018-01-03 08:39,15.10
ORD,2018-01-03 08:51,16.00
ORD,2018-01-03 09:51,16.00
ORD,2018-01-03 10:51,16.00
ORD,2018-01-03 11:51,17.10
ORD,2018-01-03 12:51,16.00
ORD,2018-01-03 13:51,16.00
ORD,2018-01-03 14:51,16.00
ORD,2018-01-03 15:51,15.10
ORD,2018-01-03 16:51,14.00
ORD,2018-01-03 17:51,12.90
ORD,2018-01-03 18:51,12.00
ORD,2018-01-03 19:51,10.90
ORD,2018-01-03 20:51,10.90
ORD,2018-01-03 21:51,9.00
ORD,2018-01-03 22:51,8.10
ORD,2018-01-03 23:51,6.00
ORD,2018-01-04 00:51,5.00
ORD,2018-01-04 01:51,4.00
ORD,2018-01-04 02:51,3.00
ORD,2018-01-04 03:51,1.90
ORD,2018-01-04 04:51,1.00
ORD,2018-01-04 05:51,1.00
ORD,2018-01-04 06:51,1.00
ORD,2018-01-04 07:51,1.00
ORD,2018-01-04 08:51,3.00
ORD,2018-01-04 09:51,5.00
ORD,2018-01-04 10:51,8.10
ORD,2018-01-04 11:51,10.00
ORD,2018-01-04 12:51,10.90
ORD,2018-01-04 13:51,12.00
ORD,2018-01-04 14:51,12.00
ORD,2018-01-04 15:51,10.00
ORD,2018-01-04 16:51,8.10
ORD,2018-01-04 17:51,7.00
ORD,2018-01-04 18:51,6.00
ORD,2018-01-04 19:51,5.00
ORD,2018-01-04 20:51,4.00
ORD,2018-01-04 21:51,4.00
ORD,2018-01-04 22:51,3.00
ORD,2018-01-04 23:51,3.00
ORD,2018-01-05 00:51,1.90
ORD,2018-01-05 01:51,1.00
ORD,2018-01-05 02:51,0.00
ORD,2018-01-05 03:51,0.00
ORD,2018-01-05 04:51,0.00
ORD,2018-01-05 05:51,0.00
ORD,2018-01-05 06:51,-0.90
ORD,2018-01-05 07:51,1.90
ORD,2018-01-05 08:51,3.00
ORD,2018-01-05 09:51,5.00
ORD,2018-01-05 10:51,8.10
ORD,2018-01-05 11:51,9.00
ORD,2018-01-05 12:51,10.00
ORD,2018-01-05 13:51,10.90
ORD,2018-01-05 14:51,10.90
ORD,2018-01-05 15:51,10.00
ORD,2018-01-05 16:51,7.00
ORD,2018-01-05 17:51,7.00
ORD,2018-01-05 18:51,6.00
ORD,2018-01-05 19:51,4.00
ORD,2018-01-05 20:51,4.00
ORD,2018-01-05 21:51,3.00
ORD,2018-01-05 22:51,1.90
ORD,2018-01-05 23:51,1.90
ORD,2018-01-06 00:51,1.00
ORD,2018-01-06 01:51,1.00
ORD,2018-01-06 02:51,0.00
ORD,2018-01-06 03:51,0.00
ORD,2018-01-06 04:51,-0.90
ORD,2018-01-06 05:51,-0.90
ORD,2018-01-06 06:51,-2.00
ORD,2018-01-06 07:51,-0.90
ORD,2018-01-06 08:51,3.00
ORD,2018-01-06 09:51,7.00
ORD,2018-01-06 10:51,10.00
ORD,2018-01-06 11:51,12.00
ORD,2018-01-06 12:51,15.10
ORD,2018-01-06 13:51,14.00
ORD,2018-01-06 14:51,15.10
ORD,2018-01-06 15:51,14.00
ORD,2018-01-06 16:51,12.90
ORD,2018-01-06 17:51,12.00
ORD,2018-01-06 18:51,10.00
ORD,2018-01-06 19:51,10.00
ORD,2018-01-06 20:51,9.00
ORD,2018-01-06 21:51,7.00
ORD,2018-01-06 22:51,8.10
ORD,2018-01-06 23:51,8.10
ORD,2018-01-07 00:51,9.00
ORD,2018-01-07 01:51,10.00
ORD,2018-01-07 02:51,14.00
ORD,2018-01-07 03:51,15.10
ORD,2018-01-07 04:47,15.80
ORD,2018-01-07 04:51,14.00
ORD,2018-01-07 05:51,15.10
ORD,2018-01-07 06:51,17.10
ORD,2018-01-07 07:51,18.00
ORD,2018-01-07 08:51,19.90
ORD,2018-01-07 09:51,21.90
ORD,2018-01-07 10:51,23.00
ORD,2018-01-07 11:51,25.00
ORD,2018-01-07 12:51,27.00
ORD,2018-01-07 13:39,26.10
ORD,2018-01-07 13:51,26.10
ORD,2018-01-07 14:08,27.00
ORD,2018-01-07 14:40,27.00
ORD,2018-01-07 14:51,27.00
ORD,2018-01-07 15:13,28.00
ORD,2018-01-07 15:24,28.00
ORD,2018-01-07 15:51,28.00
ORD,2018-01-07 16:34,28.90
ORD,2018-01-07 16:42,28.90
ORD,2018-01-07 16:51,28.90
ORD,2018-01-07 17:07,30.00
ORD,2018-01-07 17:51,30.00
ORD,2018-01-07 18:07,30.00
ORD,2018-01-07 18:23,30.00
ORD,2018-01-07 18:51,30.90
ORD,2018-01-07 19:31,32.00
ORD,2018-01-07 19:51,30.90
ORD,2018-01-07 20:51,32.00
ORD,2018-01-07 21:00,32.00
